latent_id,max_act,mean_act,top_images,top_values
583,3.6974222660064697,0.06882495433092117,"['top_activations_live/img_2606.png', 'top_activations_live/img_2844.png', 'top_activations_live/img_370.png', 'top_activations_live/img_7587.png', 'top_activations_live/img_1924.png', 'top_activations_live/img_1293.png', 'top_activations_live/img_4627.png', 'top_activations_live/img_8793.png']","[3.6974222660064697, 3.659733772277832, 3.436002492904663, 3.122389316558838, 3.0007779598236084, 2.8970680236816406, 2.835714817047119, 2.8164820671081543]"
655,11.634605407714844,5.5517425537109375,"['top_activations_live/img_3988.png', 'top_activations_live/img_6924.png', 'top_activations_live/img_2906.png', 'top_activations_live/img_325.png', 'top_activations_live/img_8071.png', 'top_activations_live/img_4055.png', 'top_activations_live/img_8476.png', 'top_activations_live/img_1757.png']","[11.634605407714844, 11.456354141235352, 11.276605606079102, 11.248527526855469, 11.149812698364258, 10.975172996520996, 10.971916198730469, 10.951850891113281]"
737,3.8626976013183594,0.02896539866924286,"['top_activations_live/img_9760.png', 'top_activations_live/img_733.png', 'top_activations_live/img_50.png', 'top_activations_live/img_6681.png', 'top_activations_live/img_4761.png', 'top_activations_live/img_9777.png', 'top_activations_live/img_2282.png', 'top_activations_live/img_2568.png']","[3.8626976013183594, 3.3921685218811035, 3.0285892486572266, 2.936107635498047, 2.886683464050293, 2.722871780395508, 2.64030122756958, 2.5707263946533203]"
778,2.8367724418640137,0.04793015867471695,"['top_activations_live/img_9401.png', 'top_activations_live/img_1910.png', 'top_activations_live/img_5048.png', 'top_activations_live/img_5908.png', 'top_activations_live/img_7578.png', 'top_activations_live/img_9692.png', 'top_activations_live/img_3897.png', 'top_activations_live/img_3760.png']","[2.8367724418640137, 2.7996037006378174, 2.467175006866455, 2.168128252029419, 2.1500210762023926, 2.1405348777770996, 2.041861057281494, 1.9970208406448364]"
814,4.584692001342773,0.16892576217651367,"['top_activations_live/img_5208.png', 'top_activations_live/img_6053.png', 'top_activations_live/img_3256.png', 'top_activations_live/img_4902.png', 'top_activations_live/img_2834.png', 'top_activations_live/img_4576.png', 'top_activations_live/img_4053.png', 'top_activations_live/img_1798.png']","[4.584692001342773, 4.213832855224609, 3.8656105995178223, 3.8269100189208984, 3.737811803817749, 3.721893548965454, 3.719085693359375, 3.716695785522461]"
852,7.7495551109313965,0.8517867922782898,"['top_activations_live/img_5910.png', 'top_activations_live/img_4462.png', 'top_activations_live/img_6516.png', 'top_activations_live/img_9009.png', 'top_activations_live/img_35.png', 'top_activations_live/img_8487.png', 'top_activations_live/img_7989.png', 'top_activations_live/img_2557.png']","[7.7495551109313965, 7.296573638916016, 7.035207748413086, 6.679850101470947, 6.525059700012207, 6.362788200378418, 6.2225799560546875, 6.158234119415283]"
879,10.353848457336426,5.096210956573486,"['top_activations_live/img_7314.png', 'top_activations_live/img_9302.png', 'top_activations_live/img_2307.png', 'top_activations_live/img_4490.png', 'top_activations_live/img_7416.png', 'top_activations_live/img_7441.png', 'top_activations_live/img_5166.png', 'top_activations_live/img_2018.png']","[10.353848457336426, 10.267755508422852, 10.128276824951172, 9.930720329284668, 9.90178394317627, 9.817310333251953, 9.770389556884766, 9.695086479187012]"
987,13.338180541992188,5.893636703491211,"['top_activations_live/img_1334.png', 'top_activations_live/img_6060.png', 'top_activations_live/img_7439.png', 'top_activations_live/img_6609.png', 'top_activations_live/img_7105.png', 'top_activations_live/img_2106.png', 'top_activations_live/img_2612.png', 'top_activations_live/img_4530.png']","[13.338180541992188, 12.973543167114258, 12.969223022460938, 12.879892349243164, 12.799636840820312, 12.741336822509766, 12.725356101989746, 12.598230361938477]"
993,3.193662643432617,0.022226907312870026,"['top_activations_live/img_189.png', 'top_activations_live/img_6336.png', 'top_activations_live/img_3.png', 'top_activations_live/img_4901.png', 'top_activations_live/img_780.png', 'top_activations_live/img_6854.png', 'top_activations_live/img_2327.png', 'top_activations_live/img_9840.png']","[3.193662643432617, 2.80831241607666, 2.7980077266693115, 2.674426794052124, 2.55161452293396, 2.514828681945801, 2.5113439559936523, 2.4899659156799316]"
1001,6.8087687492370605,0.16839684545993805,"['top_activations_live/img_1750.png', 'top_activations_live/img_9343.png', 'top_activations_live/img_5142.png', 'top_activations_live/img_3279.png', 'top_activations_live/img_5500.png', 'top_activations_live/img_404.png', 'top_activations_live/img_5548.png', 'top_activations_live/img_6734.png']","[6.8087687492370605, 6.218649387359619, 6.123806476593018, 6.114676475524902, 6.0676984786987305, 5.999320030212402, 5.881048202514648, 5.72830867767334]"
